Time	CPU	Memory	Temperature
Fri Jan  5 15:00:37 2024	3.888836	59.811344	51.120998
Fri Jan  5 15:00:38 2024	3.888175	59.811344	52.095001
Fri Jan  5 15:00:39 2024	3.887118	59.811344	51.120998
Fri Jan  5 15:00:40 2024	3.885987	59.811344	50.633999
Fri Jan  5 15:00:41 2024	3.884854	59.811344	51.120998
Fri Jan  5 15:00:42 2024	3.883961	59.811344	51.608002
Fri Jan  5 15:00:43 2024	3.883069	59.811344	51.120998
Fri Jan  5 15:00:44 2024	3.882018	59.811344	51.120998
Fri Jan  5 15:00:45 2024	3.881205	59.811344	51.120998
Fri Jan  5 15:00:46 2024	3.880542	59.811344	51.608002
Fri Jan  5 15:00:47 2024	3.879496	59.811344	50.633999
Fri Jan  5 15:00:48 2024	3.878442	59.811344	51.608002
Fri Jan  5 15:00:49 2024	3.877392	59.811344	50.146999
Fri Jan  5 15:00:50 2024	3.876186	59.811344	50.633999
Fri Jan  5 15:00:51 2024	3.875442	59.811344	50.146999
Fri Jan  5 15:00:52 2024	3.874316	59.811344	50.633999
Fri Jan  5 15:00:53 2024	3.873504	59.811344	49.660000
Fri Jan  5 15:00:54 2024	3.872457	59.811344	50.633999
Fri Jan  5 15:00:55 2024	3.871795	59.811344	50.146999
Fri Jan  5 15:00:56 2024	3.870749	59.811344	51.120998
Fri Jan  5 15:00:57 2024	3.869552	59.811344	50.633999
Fri Jan  5 15:00:58 2024	3.868581	59.811344	49.660000
Fri Jan  5 15:00:59 2024	3.867540	59.811344	51.120998
Fri Jan  5 15:01:00 2024	3.866962	59.811344	50.633999
Fri Jan  5 15:01:01 2024	3.866229	59.811344	49.173000
Fri Jan  5 15:01:02 2024	3.865883	59.811344	51.120998
Fri Jan  5 15:01:03 2024	3.869249	59.824318	51.120998
Fri Jan  5 15:01:04 2024	3.872545	59.824318	51.608002
Fri Jan  5 15:01:05 2024	3.872748	59.824318	51.608002
Fri Jan  5 15:01:06 2024	3.872948	59.824318	52.095001
Fri Jan  5 15:01:07 2024	3.872613	59.824318	51.120998
Fri Jan  5 15:01:08 2024	3.874670	59.824318	52.095001
Fri Jan  5 15:01:09 2024	3.880524	59.936462	52.582001
Fri Jan  5 15:01:10 2024	3.884276	59.955925	53.069000
Fri Jan  5 15:01:11 2024	3.885547	59.952114	53.556000
Fri Jan  5 15:01:12 2024	3.886441	59.930386	52.582001
Fri Jan  5 15:01:13 2024	3.885704	59.929974	52.095001
Fri Jan  5 15:01:14 2024	3.887439	59.929974	51.608002
Fri Jan  5 15:01:15 2024	3.893269	59.884560	52.095001
Fri Jan  5 15:01:16 2024	3.892528	59.884560	52.095001
Fri Jan  5 15:01:17 2024	3.892570	59.884560	53.069000
Fri Jan  5 15:01:18 2024	3.891451	59.884560	52.582001
Fri Jan  5 15:01:19 2024	3.890332	59.884560	52.582001
Fri Jan  5 15:01:20 2024	3.889134	59.884560	52.095001
Fri Jan  5 15:01:21 2024	3.887940	59.884560	51.120998
Fri Jan  5 15:01:22 2024	3.886894	59.884560	52.095001
Fri Jan  5 15:01:23 2024	3.886012	59.839146	51.608002
Fri Jan  5 15:01:24 2024	3.885047	59.764900	51.120998
Fri Jan  5 15:01:25 2024	3.883933	59.764900	51.608002
Fri Jan  5 15:01:26 2024	3.882898	59.764900	52.095001
Fri Jan  5 15:01:27 2024	3.881859	59.764900	51.120998
Fri Jan  5 15:01:28 2024	3.880970	59.771389	51.120998
Fri Jan  5 15:01:29 2024	3.879787	59.771389	51.608002
Fri Jan  5 15:01:30 2024	3.878912	59.777153	51.608002
Fri Jan  5 15:01:31 2024	3.878035	59.783642	51.120998
Fri Jan  5 15:01:32 2024	3.877146	59.783642	52.582001
Fri Jan  5 15:01:33 2024	3.876189	59.783642	50.633999
Fri Jan  5 15:01:34 2024	3.875083	59.783642	51.608002
Fri Jan  5 15:01:35 2024	3.874049	59.783642	51.608002
Fri Jan  5 15:01:36 2024	3.872938	59.783642	51.120998
Fri Jan  5 15:01:37 2024	3.871979	59.783642	53.069000
Fri Jan  5 15:01:38 2024	3.871255	59.783642	51.120998
Fri Jan  5 15:01:39 2024	3.870379	59.783642	50.146999
Fri Jan  5 15:01:40 2024	3.869801	59.783642	50.146999
Fri Jan  5 15:01:41 2024	3.868770	59.783642	51.608002
Fri Jan  5 15:01:42 2024	3.867816	59.783642	50.146999
Fri Jan  5 15:01:43 2024	3.867177	59.783642	50.633999
Fri Jan  5 15:01:44 2024	3.866450	59.790131	49.660000
Fri Jan  5 15:01:45 2024	3.866256	59.790131	51.120998
Fri Jan  5 15:01:46 2024	3.865991	59.790131	51.120998
Fri Jan  5 15:01:47 2024	3.865192	59.790131	51.120998
Fri Jan  5 15:01:48 2024	3.865148	59.796616	50.146999
Fri Jan  5 15:01:49 2024	3.864350	59.796616	51.120998
Fri Jan  5 15:01:50 2024	3.863778	59.796616	50.146999
Fri Jan  5 15:01:51 2024	3.869308	59.835030	50.633999
Fri Jan  5 15:01:52 2024	3.868128	59.835030	51.120998
Fri Jan  5 15:01:53 2024	3.866949	59.835030	51.120998
Fri Jan  5 15:01:54 2024	3.865846	59.835030	51.120998
Fri Jan  5 15:01:55 2024	3.864668	59.835030	51.120998
Fri Jan  5 15:01:56 2024	3.863494	59.835030	51.120998
Fri Jan  5 15:01:57 2024	3.862546	59.835030	51.608002
Fri Jan  5 15:01:58 2024	3.861526	59.835030	51.608002
Fri Jan  5 15:01:59 2024	3.860497	59.835030	50.633999
Fri Jan  5 15:02:00 2024	3.860010	59.831219	51.120998
Fri Jan  5 15:02:01 2024	3.859149	59.828541	51.120998
Fri Jan  5 15:02:02 2024	3.858826	59.835030	50.146999
